Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Singapore,SG,,,,1.35,103.82,1481,confirmed,2020-04-07T00:00:00Z
Singapore,SG,,,,1.35,103.82,1623,confirmed,2020-04-08T00:00:00Z
Singapore,SG,,,,1.35,103.82,1910,confirmed,2020-04-09T00:00:00Z
Singapore,SG,,,,1.35,103.82,2108,confirmed,2020-04-10T00:00:00Z
Singapore,SG,,,,1.35,103.82,2299,confirmed,2020-04-11T00:00:00Z
Singapore,SG,,,,1.35,103.82,2532,confirmed,2020-04-12T00:00:00Z
Singapore,SG,,,,1.35,103.82,2918,confirmed,2020-04-13T00:00:00Z
Singapore,SG,,,,1.35,103.82,3252,confirmed,2020-04-14T00:00:00Z
Singapore,SG,,,,1.35,103.82,3699,confirmed,2020-04-15T00:00:00Z
Singapore,SG,,,,1.35,103.82,4427,confirmed,2020-04-16T00:00:00Z
Singapore,SG,,,,1.35,103.82,5050,confirmed,2020-04-17T00:00:00Z
Singapore,SG,,,,1.35,103.82,5992,confirmed,2020-04-18T00:00:00Z
Singapore,SG,,,,1.35,103.82,6588,confirmed,2020-04-19T00:00:00Z
Singapore,SG,,,,1.35,103.82,8014,confirmed,2020-04-20T00:00:00Z
Singapore,SG,,,,1.35,103.82,9125,confirmed,2020-04-21T00:00:00Z
Singapore,SG,,,,1.35,103.82,10141,confirmed,2020-04-22T00:00:00Z
Singapore,SG,,,,1.35,103.82,11178,confirmed,2020-04-23T00:00:00Z
Singapore,SG,,,,1.35,103.82,12075,confirmed,2020-04-24T00:00:00Z
Singapore,SG,,,,1.35,103.82,12693,confirmed,2020-04-25T00:00:00Z
Singapore,SG,,,,1.35,103.82,13624,confirmed,2020-04-26T00:00:00Z
Singapore,SG,,,,1.35,103.82,14423,confirmed,2020-04-27T00:00:00Z
Singapore,SG,,,,1.35,103.82,14951,confirmed,2020-04-28T00:00:00Z
Singapore,SG,,,,1.35,103.82,15641,confirmed,2020-04-29T00:00:00Z
Singapore,SG,,,,1.35,103.82,16169,confirmed,2020-04-30T00:00:00Z
Singapore,SG,,,,1.35,103.82,17101,confirmed,2020-05-01T00:00:00Z
Singapore,SG,,,,1.35,103.82,17548,confirmed,2020-05-02T00:00:00Z
Singapore,SG,,,,1.35,103.82,18205,confirmed,2020-05-03T00:00:00Z
Singapore,SG,,,,1.35,103.82,18778,confirmed,2020-05-04T00:00:00Z
Singapore,SG,,,,1.35,103.82,19410,confirmed,2020-05-05T00:00:00Z
Singapore,SG,,,,1.35,103.82,20198,confirmed,2020-05-06T00:00:00Z
